user_id,service_name,category,monthly_cost,login_frequency,time_spent,feature_usage,churned
1,Spotify,Music,199,7,12.05,26.51,No
1,YouTube Premium,Streaming,129,21,2.76,24.04,Yes
1,Dropbox,Storage,150,24,5.34,22.86,No
2,Amazon Prime,Streaming,299,21,14.56,84.92,No
2,Google One,Storage,130,21,9.45,65.05,Yes
2,Dropbox,Storage,150,17,8.11,45.99,Yes
3,Spotify,Music,199,16,3.88,18.15,No
3,Netflix,Streaming,499,12,7.96,63.32,Yes
3,Google One,Storage,130,19,10.36,50.54,Yes
3,Dropbox,Storage,150,14,12.22,37.42,Yes
4,Notion Pro,Productivity,300,20,3.99,71.49,No
4,Dropbox,Storage,150,8,1.0,91.84,Yes
4,Hotstar,Streaming,299,8,11.45,48.26,Yes
4,Google One,Storage,130,4,3.18,97.26,No
4,YouTube Premium,Streaming,129,2,6.23,93.4,No
5,Amazon Prime,Streaming,299,15,1.78,27.64,Yes
5,Spotify,Music,199,8,12.75,77.26,No
5,Notion Pro,Productivity,300,24,5.67,35.28,No
5,Dropbox,Storage,150,9,4.8,24.87,Yes
6,Amazon Prime,Streaming,299,9,11.7,27.88,Yes
6,Canva Pro,Productivity,399,11,3.38,74.02,No
6,Apple Music,Music,179,5,13.93,68.6,No
7,Canva Pro,Productivity,399,9,9.54,39.78,Yes
7,Spotify,Music,199,23,10.2,69.93,No
8,Dropbox,Storage,150,22,13.36,52.5,Yes
8,Canva Pro,Productivity,399,14,12.81,74.96,No
8,Notion Pro,Productivity,300,14,7.66,57.05,No
9,Notion Pro,Productivity,300,10,6.87,28.15,No
9,Hotstar,Streaming,299,17,5.06,55.77,No
9,Canva Pro,Productivity,399,23,9.26,58.59,No
10,Amazon Prime,Streaming,299,13,1.62,36.08,Yes
10,Google One,Storage,130,2,9.55,36.61,Yes
10,Spotify,Music,199,12,3.21,90.33,No
10,Notion Pro,Productivity,300,23,13.49,38.62,Yes
11,YouTube Premium,Streaming,129,20,5.61,37.43,Yes
11,Notion Pro,Productivity,300,9,7.53,72.32,Yes
11,Amazon Prime,Streaming,299,24,14.17,39.09,No
11,Spotify,Music,199,9,6.36,15.84,Yes
12,Amazon Prime,Streaming,299,12,4.15,54.75,No
12,Notion Pro,Productivity,300,17,14.97,34.01,No
13,Google One,Storage,130,22,0.98,41.06,No
13,YouTube Premium,Streaming,129,2,8.2,50.3,No
13,Spotify,Music,199,23,10.25,78.55,No
13,Netflix,Streaming,499,6,5.83,66.91,No
14,YouTube Premium,Streaming,129,11,12.34,81.85,Yes
14,Netflix,Streaming,499,6,10.59,87.25,Yes
15,Apple Music,Music,179,4,0.74,56.09,Yes
15,Notion Pro,Productivity,300,7,3.03,72.18,Yes
15,Dropbox,Storage,150,18,12.65,70.81,No
15,Hotstar,Streaming,299,18,13.91,88.96,No
15,Google One,Storage,130,16,12.35,59.97,No
16,Netflix,Streaming,499,2,14.95,96.89,No
16,YouTube Premium,Streaming,129,23,5.42,41.43,No
17,Hotstar,Streaming,299,3,12.92,46.41,No
17,YouTube Premium,Streaming,129,20,1.72,24.55,No
18,Canva Pro,Productivity,399,20,8.92,43.51,No
18,Notion Pro,Productivity,300,18,2.83,59.39,No
18,Amazon Prime,Streaming,299,16,14.92,25.83,Yes
18,Apple Music,Music,179,14,5.22,77.18,No
19,Netflix,Streaming,499,7,10.95,37.73,No
19,Google One,Storage,130,19,9.73,32.54,No
20,Netflix,Streaming,499,6,6.2,90.28,No
20,Amazon Prime,Streaming,299,2,5.58,68.06,No
21,Canva Pro,Productivity,399,1,3.33,75.02,Yes
21,Apple Music,Music,179,3,11.64,13.92,No
22,Amazon Prime,Streaming,299,14,13.77,43.31,Yes
22,Spotify,Music,199,24,5.3,59.75,No
22,Apple Music,Music,179,1,1.59,37.51,Yes
22,Dropbox,Storage,150,1,5.1,25.25,Yes
22,Canva Pro,Productivity,399,22,10.59,61.31,Yes
23,Apple Music,Music,179,15,14.86,22.61,No
23,Google One,Storage,130,2,5.18,86.38,Yes
23,Hotstar,Streaming,299,22,5.71,36.42,No
24,YouTube Premium,Streaming,129,3,4.22,65.04,Yes
24,Google One,Storage,130,7,7.77,81.85,No
24,Notion Pro,Productivity,300,14,12.04,90.1,No
24,Amazon Prime,Streaming,299,2,1.86,62.05,Yes
24,Hotstar,Streaming,299,22,9.07,12.75,Yes
25,Google One,Storage,130,6,4.9,58.34,Yes
25,Notion Pro,Productivity,300,8,11.66,29.42,No
26,Notion Pro,Productivity,300,4,12.71,27.49,Yes
26,Spotify,Music,199,3,9.74,75.35,No
26,Apple Music,Music,179,10,5.18,81.57,No
27,Canva Pro,Productivity,399,23,4.14,26.59,Yes
27,Hotstar,Streaming,299,9,10.48,15.24,No
27,YouTube Premium,Streaming,129,15,4.13,59.43,No
27,Notion Pro,Productivity,300,8,14.05,67.44,No
27,Dropbox,Storage,150,5,9.37,47.76,Yes
28,Notion Pro,Productivity,300,16,2.8,20.81,No
28,Spotify,Music,199,5,1.87,38.03,No
28,Dropbox,Storage,150,5,7.38,18.81,Yes
29,Netflix,Streaming,499,7,5.52,51.82,No
29,Amazon Prime,Streaming,299,10,14.26,89.8,No
29,Canva Pro,Productivity,399,10,9.57,55.28,No
29,Dropbox,Storage,150,5,10.42,65.43,No
29,Notion Pro,Productivity,300,2,0.88,62.72,No
30,YouTube Premium,Streaming,129,24,10.32,61.6,Yes
30,Hotstar,Streaming,299,19,12.4,66.33,No
30,Dropbox,Storage,150,8,13.63,27.62,Yes
30,Canva Pro,Productivity,399,14,0.76,18.5,No
31,Notion Pro,Productivity,300,17,10.01,44.69,No
31,Canva Pro,Productivity,399,2,4.28,54.64,No
31,Amazon Prime,Streaming,299,18,9.62,88.97,No
32,Apple Music,Music,179,21,14.53,59.32,No
32,Dropbox,Storage,150,24,12.2,99.15,No
32,Canva Pro,Productivity,399,18,4.13,62.25,No
33,Netflix,Streaming,499,5,3.96,71.19,No
33,Spotify,Music,199,3,2.0,91.23,No
33,Google One,Storage,130,16,6.15,36.79,Yes
34,YouTube Premium,Streaming,129,4,0.66,91.48,Yes
34,Netflix,Streaming,499,7,14.37,70.91,Yes
34,Dropbox,Storage,150,15,1.71,18.25,No
34,Notion Pro,Productivity,300,20,10.25,77.71,No
34,Amazon Prime,Streaming,299,7,1.82,54.5,Yes
35,Dropbox,Storage,150,5,11.19,59.13,No
35,Hotstar,Streaming,299,15,2.57,78.54,No
35,Apple Music,Music,179,6,1.72,73.09,Yes
35,Netflix,Streaming,499,18,13.43,23.19,No
36,Spotify,Music,199,6,14.81,43.68,Yes
36,Notion Pro,Productivity,300,20,3.93,91.69,No
36,YouTube Premium,Streaming,129,4,5.96,17.52,Yes
