user_id,subscription_start,subscription_end,payment_status,login_frequency,time_spent,feature_usage,churned
1,2023-04-13,,failed,9,3.48,70.1,No
2,2023-12-15,2024-06-21,successful,1,17.85,63.39,Yes
3,2023-09-28,,successful,9,9.55,90.31,No
4,2023-04-17,,failed,25,4.7,26.68,No
5,2023-03-13,,successful,16,7.99,17.11,No
6,2023-07-08,,pending,13,8.87,31.56,No
7,2023-01-21,,successful,9,16.72,81.51,No
8,2023-04-13,,successful,21,14.94,13.12,No
9,2023-05-02,,successful,13,15.62,62.45,No
10,2023-08-03,,successful,9,1.21,99.59,No
11,2023-11-27,,successful,11,8.91,87.01,No
12,2023-03-29,,successful,4,10.15,56.93,No
13,2023-04-10,2023-05-21,successful,2,1.36,15.73,Yes
14,2023-12-26,2024-10-03,pending,29,5.94,84.82,Yes
15,2023-06-01,2023-08-04,successful,6,15.45,63.91,Yes
16,2023-05-11,,successful,14,3.61,20.34,No
17,2023-05-30,,successful,4,11.17,18.45,No
18,2023-11-05,,successful,6,5.09,91.87,No
19,2023-09-15,,successful,19,1.23,70.23,No
20,2023-12-10,,successful,6,5.58,84.64,No
21,2023-10-21,2024-06-02,successful,2,19.54,89.11,Yes
22,2023-07-11,,successful,18,16.23,61.46,No
23,2023-10-04,,successful,13,19.23,56.57,No
24,2023-06-10,,successful,9,10.27,48.74,No
25,2023-11-10,2024-07-13,successful,23,3.08,38.53,Yes
26,2023-01-22,,successful,19,11.41,49.11,No
27,2023-09-10,2024-04-18,pending,13,9.63,79.65,Yes
28,2023-08-24,,successful,11,17.04,64.17,No
29,2023-12-11,,successful,1,2.86,90.33,No
30,2023-02-18,2023-06-23,successful,24,10.28,49.9,Yes
31,2023-02-28,,successful,22,3.85,64.64,No
32,2023-06-19,,pending,7,7.17,66.82,No
33,2023-07-07,,successful,25,15.01,63.25,No
34,2023-09-28,,successful,21,10.04,73.24,No
35,2023-07-09,,successful,15,8.14,31.37,No
36,2023-06-24,,successful,1,8.5,56.11,No
37,2023-02-20,2023-12-19,pending,12,9.73,19.38,Yes
38,2023-12-30,,successful,26,15.92,44.61,No
39,2023-02-24,,successful,7,17.95,53.89,No
40,2023-09-01,,successful,15,19.15,68.7,No
41,2023-11-16,2024-01-03,successful,21,15.95,95.55,Yes
42,2023-05-11,,successful,19,6.99,64.06,No
43,2023-11-03,2024-07-22,pending,28,14.07,76.92,Yes
44,2023-05-15,,failed,29,9.31,55.56,No
45,2023-01-21,,successful,25,5.84,67.07,No
46,2023-11-25,,successful,1,16.98,16.38,No
47,2023-06-16,,successful,17,1.73,32.9,No
48,2023-10-01,,successful,17,18.13,42.57,No
49,2023-03-30,,successful,3,9.77,52.52,No
50,2023-11-12,2024-02-18,successful,12,13.11,14.11,Yes
